"k","tiempo (ns)"
1,1638617
2,2997127
3,4688821
4,6801337
5,8800972
6,11536348
7,14192357
8,17151696
9,20307332
10,23615503
11,26849279
12,30372138
13,33875573
14,37403649
15,40868376
16,44444946
17,47662879
18,51421458
19,54521529
20,57654480
21,60500969
22,63393271
23,66256400
24,68841313
25,71027111
26,74178803
27,76263770
28,77375755
29,79630008
30,81312033
31,83189555
32,83266824
33,85400918
34,85485563
35,87245954
36,87672031
37,89046180
38,90367429
39,90098684
40,90529269
41,90526691
42,90815606
43,91378552
44,58753019
45,16844095
46,8214104
47,8264680
48,8454326
49,8656968
50,8723037
51,8836589
52,8956396
53,8992463
54,9119958
55,9048505
56,9059931
57,9242554
58,9258655
59,9202421
60,9249833
61,9273372
62,9417365
63,9422974
64,9442984
65,9374800
66,9453929
67,9511661
68,9521192
69,9529426
70,9483844
71,9599472
72,9631845
73,9515399
74,9667737
75,9577697
76,9566219
77,9598728
78,9755723
79,9625640
80,9772699
81,9717800
82,9637019
83,9794627
84,9717259
85,9794070
86,9700152
87,9824334
88,9801120
89,9824146
90,9780039
91,9891892
92,9806336
93,9854749
94,9823175
95,10017501
96,9899322
97,9974202
98,10000782
99,9931906
100,9949208
101,10117436
102,9995878
103,10089996
104,10002421
105,10046746
106,10088641
107,10174261
108,10097795
109,10161456
110,10132214
111,10162895
112,10163523
113,10245071
114,10250937
115,10164589
116,10251798
117,10268137
118,10294259
119,10331586
120,10311174
121,10361730
122,10391820
123,10334165
124,10421605
125,10353055
126,10440426
127,10333680
128,10424604
129,10404650
130,10489229
131,10417692
132,10532750
133,10482088
134,10512230
135,10597207
136,10532183
137,10504903
138,10550856
139,10639709
140,10530312
141,10577524
142,10601967
143,10740595
144,10628919
145,10667442
146,10653354
147,10783434
148,10804457
149,10735822
150,10831623
151,10721391
152,10857627
153,10832670
154,10819585
155,10774772
156,10909487
157,10840684
158,10880161
159,10903422
160,10918211
161,10986120
162,10909126
163,10908090
164,10941684
165,11001039
166,11021922
167,11097206
168,10985448
169,11264876
170,11225115
171,11130960
172,11062425
173,11085972
174,11099526
175,11113331
176,11173834
177,11174329
178,11296971
179,11213471
180,11302588
181,11225947
182,11308223
183,11270667
184,11294709
185,11265121
186,11423344
187,11392654
188,11340616
189,11338214
190,11454218
191,11410248
192,11373515
193,11473002
194,11528431
195,11542236
196,11463513
197,11463523
198,11540529
199,11611394
200,11629202
